brain_volume,gray_matter_volume,white_matter_volume,csf_volume,mean_intensity,std_intensity,max_intensity,contrast,homogeneity,energy,area,entropy,skewness,kurtosis,total_neurons,neuron_density,occipital_lobe,hippocampus,temporal_lobe,thalamus,insular_lobe,frontal_lobe,lbp_4,lbp_9,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,name,label
9863,3429,4471,8484,77.31707763671875,85.15016168806001,250,269.1883612204724,0.4502364556074077,0.3708998967179956,6740,5.543513968285324,0.5110429423468329,-1.3469247133918263,6436,0.392822265625,59.8748,99.0684,31.094285714285714,102.2208,156.9784,75.21642857142857,0.1803588867077417,0.0480957031220644,9295.831832504571,339092.0,873354.0,84539932.0,0.6058349609375,655.6448209709671,213310501.0,0_processed_1.png,label_0
9520,3503,4001,8880,72.6845703125,83.28921817070469,252,247.13656496063,0.4733391087185986,0.3939803469072196,6452,5.413438442322198,0.6066401116432191,-1.2245527592342835,6135,0.37445068359375,54.6828,91.1504,23.467142857142857,107.266,145.6036,64.225,0.1688842773334421,0.0494384765594825,8875.423991905005,369640.0,764417.0,76921399.0,0.58172607421875,605.7543990922549,195508404.0,0_processed_10.png,label_0
9665,3786,3499,9099,66.4515380859375,76.38728576689651,251,284.14640748031496,0.4584143662697948,0.3839970794220732,6078,5.458544211306407,0.6550776183971461,-1.1294098538798971,5545,0.33843994140625,49.3792,88.7712,22.855,96.79,129.9168,59.05285714285714,0.1781616210828758,0.0488281249970197,9158.31560114502,360608.0,795063.0,82144223.0,0.59576416015625,620.2506362851204,165833801.0,0_processed_100.png,label_0
9758,3626,3569,9189,67.54296875,78.59229688874746,251,292.95374015748035,0.4575941384642897,0.3790291030339587,5923,5.521169320021286,0.6988796798331307,-1.043788213539134,5533,0.33770751953125,49.8448,90.9768,22.251428571428573,100.1868,128.736,61.15357142857143,0.1831665038950704,0.0520629882780723,9152.693819139917,349524.0,785235.0,81958263.0,0.59698486328125,614.6244161110548,173360193.0,0_processed_101.png,label_0
9569,3502,3427,9455,65.23248291015625,78.01737253348459,254,301.37709153543307,0.4650379921508539,0.3883325416861827,5488,5.448639533063321,0.7845086709078287,-0.89707103473076,5210,0.3179931640625,38.0288,86.1088,18.68285714285714,89.7544,143.6108,62.76,0.1829223632700853,0.0467529296846464,9022.531248147488,352776.0,823936.0,79579144.0,0.58984375,655.3602884970263,166818917.0,0_processed_102.png,label_0
9485,3157,4009,9218,70.80340576171875,83.35075216427268,254,285.7920767716536,0.4761504022890037,0.395943645211494,6052,5.375306802591014,0.6691665944213684,-1.1542079835102703,5802,0.3541259765625,52.4152,101.4068,21.422857142857143,97.7148,137.8848,59.34357142857143,0.174865722645577,0.0462646484346762,8890.703095969917,373504.0,791540.0,77371708.0,0.58056640625,617.6738816506308,193607017.0,0_processed_103.png,label_0
9725,3681,4022,8681,72.8543701171875,82.74159203616655,251,254.83218503937,0.4633396432164219,0.3810756455285873,6262,5.495274031249283,0.6112397934567718,-1.1918119869048065,5916,0.361083984375,56.0968,88.6596,24.952857142857145,105.7512,144.7964,66.16571428571429,0.1722412109269872,0.0505371093719154,9067.43505175043,350466.0,796812.0,80325072.0,0.593017578125,618.246773170499,194988728.0,0_processed_104.png,label_0
9645,3690,3018,9676,61.27069091796875,74.07843911661661,253,283.54613681102364,0.4662526549639537,0.384601125446156,5238,5.441141608589839,0.8457638611926648,-0.7488588181878542,4791,0.29241943359375,43.2828,81.6992,17.946428571428573,91.594,113.6628,59.615,0.1842651367075033,0.0472412109346166,9027.491457497184,352226.0,826468.0,79636942.0,0.5904541015625,637.5582198624174,149376497.0,0_processed_105.png,label_0
9200,2940,3953,9491,69.32830810546875,83.833337672383,249,246.48388287401576,0.501438745729975,0.4181575426915087,5963,5.23613250561315,0.7033027774185092,-1.1396361806419937,5733,0.34991455078125,50.2544,105.7956,16.47142857142857,97.8764,131.9196,52.35,0.1807861328014657,0.0411376953099891,8441.827637657736,399084.0,661345.0,69641117.0,0.55377197265625,519.9868347627821,189574684.0,0_processed_106.png,label_0
9735,2962,4161,9261,72.4036865234375,85.076456314463,252,302.97625492125985,0.4641414033620152,0.3781757647981864,5824,5.5195438151503184,0.6954065797510772,-1.110562450305329,5722,0.3492431640625,53.5516,96.8432,28.088571428571427,107.6216,143.9024,58.825,0.1807250976452194,0.0509033203093931,9085.273663682605,348582.0,832392.0,80505666.0,0.595703125,656.9618422841779,199676581.0,0_processed_107.png,label_0
